query,query_type,response
6to4.ipv6.microsoft.com,A,192.88.99.1
a978.i6g1.akamai.net,AAAA,2600:1404:4400::17c7:33e0
a978.i6g1.akamai.net,AAAA,2600:1404:4400::17c7:33da
a978.i6g1.akamai.net,AAAA,2600:1404:4400::17c7:33d0
au.download.windowsupdate.com,A,72.21.81.240
au.download.windowsupdate.com,A,cs11.wpc.v0cdn.net
au.download.windowsupdate.com,A,hlb.apr-52dd2-0.edgecastdns.net
au.download.windowsupdate.com,A,wu.wpc.apr-52dd2.edgecastdns.net
au.download.windowsupdate.com,A,wu.ec.azureedge.net
au.download.windowsupdate.com,A,wu.azureedge.net
au.download.windowsupdate.com,A,audownload.windowsupdate.nsatc.net
au.download.windowsupdate.com,A,au-bg-shim.trafficmanager.net
au.download.windowsupdate.com,AAAA,2600:1404:4400::17c7:3398
au.download.windowsupdate.com,AAAA,2600:1404:4400::17c7:3390
au.download.windowsupdate.com,AAAA,a767.dscg3.akamai.net
au.download.windowsupdate.com,AAAA,au.download.windowsupdate.com.edgesuite.net
au.download.windowsupdate.com,AAAA,au-bg-shim.trafficmanager.net
au.download.windowsupdate.com,AAAA,audownload.windowsupdate.nsatc.net
dns.msftncsi.com,A,131.107.255.255
download.windowsupdate.com,AAAA,2001:1900:2300:6f00::1fe
download.windowsupdate.com,AAAA,2001:1900:2300:4f01::1fe
download.windowsupdate.com,AAAA,2001:1900:2300:6f0c::1fe
download.windowsupdate.com,AAAA,2001:1900:2300:2f09::1fe
download.windowsupdate.com,AAAA,fg.download.windowsupdate.com.c.footprint.net
download.windowsupdate.com,AAAA,wu-fg-shim.trafficmanager.net
download.windowsupdate.com,AAAA,2-01-3cf7-0009.cdx.cedexis.net
download.windowsupdate.com,A,8.249.161.254
download.windowsupdate.com,A,8.249.203.254
download.windowsupdate.com,A,8.253.112.120
download.windowsupdate.com,A,8.249.185.254
download.windowsupdate.com,A,8.249.179.254
download.windowsupdate.com,A,fg.download.windowsupdate.com.c.footprint.net
download.windowsupdate.com,A,2-01-3cf7-0009.cdx.cedexis.net
download.windowsupdate.com,A,wu-fg-shim.trafficmanager.net
fe2.update.microsoft.com,AAAA,2a01:111:f330:1790::a41
fe2.update.microsoft.com,AAAA,2a01:111:f335:1792::a01
fe2.update.microsoft.com,AAAA,fe2.update.microsoft.com.nsatc.net
fe2.update.microsoft.com,AAAA,2a01:111:f330:1793::a21
fe2.update.microsoft.com,A,40.70.224.147
fe2.update.microsoft.com,A,20.188.78.187
fe2.update.microsoft.com,A,52.242.231.37
fe2.update.microsoft.com,A,fe2.update.microsoft.com.nsatc.net
fe2.update.microsoft.com,A,52.242.231.36
fe2.update.microsoft.com,A,52.250.46.238
fe2.update.microsoft.com,AAAA,2a01:111:f307:1793::a61
fe2.update.microsoft.com,AAAA,2a01:111:f335:1792::a61
fe2.update.microsoft.com,AAAA,2a01:111:f307:1794::a21
fe2.update.microsoft.com,AAAA,2a01:111:f330:1790::a01
fe2.update.microsoft.com,AAAA,2a01:111:f307:1794::a01
ipv6.msftncsi.com,A,a978.i6g1.akamai.net
ipv6.msftncsi.com,A,ipv6.msftncsi.com.edgesuite.net
ipv6.msftncsi.com,AAAA,2600:1404:4400::17c7:33da
ipv6.msftncsi.com,AAAA,2600:1404:4400::17c7:33e0
ipv6.msftncsi.com,AAAA,a978.i6g1.akamai.net
ipv6.msftncsi.com,AAAA,ipv6.msftncsi.com.edgesuite.net
ipv6.msftncsi.com,AAAA,2600:1404:4400::17c7:33d0
statsfe2.update.microsoft.com,AAAA,s2.statsupdate.microsoft.com.nsatc.net
statsfe2.update.microsoft.com,A,13.78.184.44
statsfe2.update.microsoft.com,A,52.183.47.176
statsfe2.update.microsoft.com,A,s2.statsupdate.microsoft.com.nsatc.net
wdcp.microsoft.com,A,40.78.1.30
wdcp.microsoft.com,A,wd-prod-cp-us-west-2-fe.westus.cloudapp.azure.com
wdcp.microsoft.com,A,wd-prod-cp.trafficmanager.net
wdcp.microsoft.com,AAAA,wd-prod-cp-us-east-1-fe.eastus.cloudapp.azure.com
wdcp.microsoft.com,AAAA,wd-prod-cp.trafficmanager.net
www.msftncsi.com,A,23.67.246.48
www.msftncsi.com,A,www.msftncsi.com.edgesuite.net
www.msftncsi.com,A,23.67.246.75
www.msftncsi.com,A,a1961.g2.akamai.net
