query,query_type,response
time.windows.com,A,40.119.6.228
dns.msftncsi.com,A,131.107.255.255
v10.events.data.microsoft.com,A,168.62.57.154
settings-win.data.microsoft.com,A,52.185.211.133
checkappexec.microsoft.com,A,157.55.163.108
v20.events.data.microsoft.com,A,52.114.133.60
v10.events.data.microsoft.com,A,52.114.133.60
watson.telemetry.microsoft.com,A,104.43.193.48
login.live.com,A,40.126.0.66
login.live.com,A,40.126.0.69
login.live.com,A,40.126.0.70
login.live.com,A,40.126.0.73
login.live.com,A,20.190.128.128
login.live.com,A,40.126.0.72
login.live.com,A,40.126.0.67
login.live.com,A,40.126.0.68
ocsp.digicert.com,A,72.21.91.29
wdcp.microsoft.com,A,13.82.144.201
v10.events.data.microsoft.com,A,52.114.88.22
v10.events.data.microsoft.com,A,52.114.75.79
au.download.windowsupdate.com,A,8.249.155.254
au.download.windowsupdate.com,A,8.249.173.254
emdl.ws.microsoft.com,A,23.67.246.51
emdl.ws.microsoft.com,A,23.67.246.34
cp501.prod.do.dsp.mp.microsoft.com,A,23.10.115.183
au.download.windowsupdate.com,A,8.249.161.254
au.download.windowsupdate.com,A,8.249.157.254
au.download.windowsupdate.com,A,8.249.185.254
kv501.prod.do.dsp.mp.microsoft.com,A,23.10.115.183
geo.prod.do.dsp.mp.microsoft.com,A,52.137.110.235
fe3.delivery.mp.microsoft.com,A,40.125.122.151
fe2.update.microsoft.com,A,52.242.231.37
fe2.update.microsoft.com,A,52.242.231.36
fe2.update.microsoft.com,A,52.250.195.207
onecs-live.azureedge.net,A,72.21.81.200
www.bing.com,A,13.107.21.200
www.bing.com,A,204.79.197.200
checkappexec.microsoft.com,A,52.255.189.153
settings-win.data.microsoft.com,A,52.183.220.149
v20.events.data.microsoft.com,A,52.114.75.149
ctldl.windowsupdate.com,A,8.249.161.254
ctldl.windowsupdate.com,A,8.249.155.254
ctldl.windowsupdate.com,A,8.249.157.254
ctldl.windowsupdate.com,A,8.249.185.254
v10.events.data.microsoft.com,A,52.114.75.149
ctldl.windowsupdate.com,A,8.249.173.254
login.live.com,A,40.126.5.35
login.live.com,A,40.126.5.100
login.live.com,A,40.126.5.99
login.live.com,A,20.190.133.66
login.live.com,A,20.190.133.78
login.live.com,A,20.190.133.75
login.live.com,A,40.126.5.98
login.live.com,A,40.126.5.64
www.msftconnecttest.com,A,13.107.4.52
v20.events.data.microsoft.com,A,138.91.136.108
v10.events.data.microsoft.com,A,138.91.136.108
time.windows.com,CNAME,time.microsoft.akadns.net
v10.events.data.microsoft.com,CNAME,skypedataprdcoleus12.cloudapp.net
v10.events.data.microsoft.com,CNAME,global.asimov.events.data.trafficmanager.net
settings-win.data.microsoft.com,CNAME,settingsfd-geo.trafficmanager.net
checkappexec.microsoft.com,CNAME,wd-prod-ss-us-northcentral-1-fe.northcentralus.cloudapp.azure.com
v20.events.data.microsoft.com,CNAME,skypedataprdcoleus06.cloudapp.net
v10.events.data.microsoft.com,CNAME,skypedataprdcoleus06.cloudapp.net
watson.telemetry.microsoft.com,CNAME,skypedataprdcolcus15.cloudapp.net
watson.telemetry.microsoft.com,CNAME,blobcollector.events.data.trafficmanager.net
ocsp.digicert.com,CNAME,cs9.wac.phicdn.net
login.live.com,CNAME,www.tm.a.prd.aadg.akadns.net
wdcp.microsoft.com,CNAME,wd-prod-cp.trafficmanager.net
wdcp.microsoft.com,CNAME,wd-prod-cp-us-east-2-fe.eastus.cloudapp.azure.com
v10.events.data.microsoft.com,CNAME,skypedataprdcoluks03.cloudapp.net
v10.events.data.microsoft.com,CNAME,skypedataprdcolweu05.cloudapp.net
au.download.windowsupdate.com,CNAME,auto.au.download.windowsupdate.com.c.footprint.net
au.download.windowsupdate.com,CNAME,audownload.windowsupdate.nsatc.net
au.download.windowsupdate.com,CNAME,au-bg-shim.trafficmanager.net
emdl.ws.microsoft.com,CNAME,a1158.g.akamai.net
emdl.ws.microsoft.com,CNAME,emdl.ws.microsoft.com.edgesuite.net
emdl.ws.microsoft.com,CNAME,main.emdlws.microsoft.com.nsatc.net
emdl.ws.microsoft.com,CNAME,fg.v4.emdlws.microsoft.com.nsatc.net
cp501.prod.do.dsp.mp.microsoft.com,CNAME,e10370.g.akamaiedge.net
cp501.prod.do.dsp.mp.microsoft.com,CNAME,cp501.prod.do.dsp.mp.microsoft.com.edgekey.net
cp501.prod.do.dsp.mp.microsoft.com,CNAME,cp501.prod.dodsp.mp.microsoft.com.nsatc.net
kv501.prod.do.dsp.mp.microsoft.com,CNAME,e10370.g.akamaiedge.net
kv501.prod.do.dsp.mp.microsoft.com,CNAME,kv501.prod.do.dsp.mp.microsoft.com.edgekey.net
kv501.prod.do.dsp.mp.microsoft.com,CNAME,kv501.prod.dodsp.mp.microsoft.com.nsatc.net
geo.prod.do.dsp.mp.microsoft.com,CNAME,geo-prod.do.dsp.mp.microsoft.com
geo.prod.do.dsp.mp.microsoft.com,CNAME,geo-prod.dodsp.mp.microsoft.com.nsatc.net
geo.prod.do.dsp.mp.microsoft.com,CNAME,array811.prod.do.dsp.mp.microsoft.com
fe3.delivery.mp.microsoft.com,CNAME,fe3.delivery.dsp.mp.microsoft.com.nsatc.net
